,No
choreoathetosis,9094
endocardial fibrosis,9095
progesterone abnormal,9096
hepatitis b antibody,9097
peritoneal neoplasm,9098
kaolin cephalin clotting time prolonged,9099
psychotherapy,9100
haematocrit increased,9101
gastrointestinal erosion,9102
disorientation,9103
adverse reaction,9104
polychromasia,9105
leg amputation,9106
tooth extraction,9107
aortic bypass,9108
umbilical hernia,9109
autism spectrum disorder,9110
congenital knee deformity,9111
parkinsonism,9112
enterovesical fistula,9113
body height decreased,9114
oxygen supplementation,9115
histoplasmosis disseminated,9116
pelvic floor muscle weakness,9117
tic,9118
pharyngeal hypertrophy,9119
dementia alzheimer's type,9120
paternal drugs affecting foetus,9121
middle insomnia,9122
wrist surgery,9123
spinal cord herniation,9124
glomerular filtration rate decreased,9125
amenorrhoea,9126
metastatic neoplasm,9127
frontal sinus operation,9128
anoxia,9129
adrenal suppression,9130
upper respiratory tract signs and symptoms,9131
arthralgia,9132
cd8 lymphocytes increased,9133
burkholderia cepacia infection,9134
endotracheal intubation,9135
bk virus infection,9136
ischaemic cerebral infarction,9137
spinal disorder,9138
base excess decreased,9139
acetonaemia,9140
hyperaldosteronism,9141
neutralising antibodies,9142
haematopoietic stem cell mobilisation,9143
blood sodium decreased,9144
cholangitis chronic,9145
injection site erythema,9146
application site erosion,9147
gingival pain,9148
reading disorder,9149
gastroenteritis norwalk virus,9150
parvovirus b19 serology positive,9151
immature respiratory system,9152
anion gap increased,9153
diabetic gangrene,9154
oxygen consumption increased,9155
infected sebaceous cyst,9156
encephalitis herpes,9157
mechanical complication of implant,9158
cytomegalovirus syndrome,9159
postherpetic neuralgia,9160
spinal x-ray,9161
oral discomfort,9162
intubation,9163
job dissatisfaction,9164
hepatic neoplasm malignant non-resectable,9165
chemical injury,9166
malignant melanoma,9167
oesophageal ulcer perforation,9168
"hallucination, tactile",9169
vitamin b1 deficiency,9170
local reaction,9171
uterine neoplasm,9172
hydroxycorticosteroids increased,9173
urine odour abnormal,9174
drug exposure via breast milk,9175
dry throat,9176
finger amputation,9177
optic ischaemic neuropathy,9178
sinus polyp,9179
muscle haemorrhage,9180
lichen myxoedematosus,9181
glossopharyngeal neuralgia,9182
calcium phosphate product increased,9183
white blood cell disorder,9184
monoparesis,9185
red blood cell sedimentation rate decreased,9186
aspergillosis,9187
oesophagoscopy abnormal,9188
subdural empyema,9189
injection site haematoma,9190
wound dehiscence,9191
low turnover osteopathy,9192
respiratory rate decreased,9193
endocrine disorder,9194
pituitary tumour,9195
herpes gestationis,9196
optic disc edema,9197
tonsillitis,9198
sweat gland infection,9199
toe walking,9200
spondylitic myelopathy,9201
tonsillar disorder,9202
subdural effusion,9203
blood creatine phosphokinase mm,9204
bronchopleural fistula,9205
electroconvulsive therapy,9206
myeloid metaplasia,9207
neutrophil function disorder,9208
lymphocyte count abnormal,9209
steroid withdrawal syndrome,9210
pyelotomy,9211
parkinson,9212
blood alkaline phosphatase abnormal,9213
infectious mononucleosis,9214
colorectal cancer,9215
differential white blood cell count abnormal,9216
adams-stokes syndrome,9217
lymphoplasmacytoid lymphoma/immunocytoma,9218
urine osmolarity decreased,9219
device migration,9220
pulmonary valve sclerosis,9221
pancreatic insufficiency,9222
ovarian failure,9223
aesthesioneuroblastoma,9224
total bile acids increased,9225
injection site vesicles,9226
upper limb fracture,9227
spermatocele,9228
postoperative ileus,9229
bone infection,9230
arterial stenosis,9231
cardiovascular collapse,9232
cholecystitis infective,9233
electrocardiogram t wave normal,9234
achromotrichia acquired,9235
cholestasis,9236
anorectal agenesis,9237
therapeutic response increased,9238
hepatobiliary disease,9239
pigmentation buccal,9240
placental dysplasia,9241
hepatitis b antibody positive,9242
rectal cancer,9243
post procedural haemorrhage,9244
stiff-man syndrome,9245
infusion site reaction,9246
blood ph increased,9247
vaginal burning sensation,9248
congenital oesophageal anomaly,9249
salivary gland disorder,9250
nasal discomfort,9251
umbilical cord abnormality,9252
severe acute respiratory syndrome,9253
angiogram cerebral abnormal,9254
biopsy gingival,9255
cryotherapy,9256
lymphangiectasia intestinal,9257
retinal vascular occlusion,9258
anorectal cellulitis,9259
ganglion,9260
hepatitis cholestatic,9261
bereavement,9262
catheter removal,9263
pruritus nec,9264
oropharyngeal blistering,9265
metastases to mouth,9266
atrial septal defect,9267
ear discomfort,9268
self injurious behaviour,9269
eastern cooperative oncology group performance status worsened,9270
blood bilirubin decreased,9271
blood lactate dehydrogenase increased,9272
faecal disimpaction,9273
posterior capsule opacification,9274
retroperitoneal haemorrhage,9275
ankle fracture,9276
beta haemolytic streptococcal infection,9277
cutaneous ulcer,9278
polychondritis,9279
iliac artery embolism,9280
urticaria pigmentosa,9281
dental abscess,9282
protein total increased,9283
nasal mucosa atrophy,9284
immune-mediated necrotising myopathy,9285
melanoma recurrent,9286
gastroenteritis eosinophilic,9287
acute lymphocytic leukaemia,9288
feeding disorder,9289
wrong technique in drug usage process,9290
citrobacter infection,9291
benign bone neoplasm,9292
drug level changed,9293
erythroplasia,9294
breast pain,9295
bone pain,9296
nuclear magnetic resonance imaging abnormal,9297
urate nephropathy,9298
hepatic vein stenosis,9299
biopsy heart,9300
anastomotic complication,9301
cd4 lymphocytes increased,9302
lymphangioma,9303
interstitial granulomatous dermatitis,9304
urethral obstruction,9305
bartonellosis,9306
eye infection fungal,9307
foetal damage,9308
toxic shock,9309
activated partial thromboplastin time prolonged,9310
sensation of block in ear,9311
gastric haemorrhage,9312
dressler's syndrome,9313
basal ganglion degeneration,9314
needle track marks,9315
pelvic organ injury,9316
ankyloglossia congenital,9317
post procedural discomfort,9318
angiolipoma,9319
duodenal ulcer perforation,9320
agranulocytoses,9321
red blood cell burr cells present,9322
thymic cancer metastatic,9323
anion gap decreased,9324
acrodermatitis,9325
porcelain gallbladder,9326
phalangeal agenesis,9327
alopecia effluvium,9328
intra-uterine contraceptive device insertion,9329
mucosal dryness,9330
pericardial effusion malignant,9331
coccydynia,9332
blood oestrogen,9333
amniotic cavity disorder,9334
post vaccination syndrome,9335
ileus,9336
infusion site pain,9337
withdrawal bleeding irregular,9338
haemodynamic instability,9339
anal skin tags,9340
post-traumatic osteoporosis,9341
wound evisceration,9342
upper extremity mass,9343
device electrical finding,9344
large intestine perforation,9345
chondrectomy,9346
congenital hydronephrosis,9347
injury asphyxiation,9348
nasal odour,9349
vulva cyst,9350
leptospirosis,9351
aortic dilatation,9352
blood immunoglobulin e,9353
mood swings,9354
frequent bowel movements,9355
gout,9356
hypertelorism of orbit,9357
tachycardia ventricular,9358
biopsy colon,9359
laryngotracheitis,9360
febrile infection,9361
cardiomyopathy acute,9362
escherichia infection,9363
hepatic infection fungal,9364
cervical neuritis,9365
essential hypertension,9366
blood ethanol increased,9367
insulin-like growth factor decreased,9368
arnold-chiari malformation,9369
viral pharyngitis,9370
lack of satiety,9371
ear canal erythema,9372
precerebral artery occlusion,9373
streptococcal identification test,9374
palindromic rheumatism,9375
myocarditis rheumatic,9376
postictal headache,9377
tooth abscess,9378
cardioactive drug level increased,9379
haemorrhage rectum,9380
homosexuality,9381
arrhythmia supraventricular,9382
prostate infection,9383
blood creatine phosphokinase decreased,9384
cervix cerclage procedure,9385
hiccough,9386
abdominal adhesions,9387
inborn error of metabolism,9388
rash morbilliform,9389
borderline mental impairment,9390
urine phosphate abnormal,9391
bursal operation,9392
osteomyelitis fungal,9393
haematology test,9394
merycism,9395
pharyngeal mass,9396
stress cardiomyopathy,9397
skin test negative,9398
sinus rhythm,9399
laryngeal obstruction,9400
drug level,9401
hypertensive emergency,9402
hypertension,9403
cystitis escherichia,9404
carcinogenicity,9405
red blood cell disorders,9406
testis discomfort,9407
postoperative thrombosis,9408
unevaluable event,9409
arrhythmia,9410
reflexes abnormal,9411
"sleep disorder due to general medical condition, insomnia type",9412
tarsal tunnel syndrome,9413
escherichia vaginitis,9414
hamartoma,9415
respiratory tract irritation,9416
hepatic lesion,9417
vein discolouration,9418
splenectomy,9419
pancytopenia,9420
laryngeal injury,9421
lower respiratory tract inflammation,9422
malignant palate neoplasm,9423
dependence on respirator,9424
upper respiratory tract inflammation,9425
angioimmunoblastic t-cell lymphoma,9426
methicillin-resistant staphylococcal aureus test,9427
metaplasia,9428
angiogram cerebral,9429
oesophageal mass,9430
brain tumour operation,9431
joint sprain,9432
abortion induced,9433
pulmonary oedema neonatal,9434
dermatitis contact,9435
electromyogram abnormal,9436
diverticulosis,9437
pulpitis dental,9438
medication overuse headache,9439
middle ear effusion,9440
congenital cystic kidney disease,9441
endometrioma,9442
diverticular perforation,9443
jejunectomy,9444
methylmalonic aciduria,9445
type iv hypersensitivity reaction,9446
laryngeal disorder,9447
aspartate aminotransferase,9448
fusarium infection,9449
oesophageal injury,9450
post procedural pneumonia,9451
quality of life decreased,9452
cholangitis,9453
keratopathy,9454
gastrointestinal tract adenoma,9455
neoplasm progression,9456
skin haemorrhage,9457
aching joints,9458
anal candidiasis,9459
mycotic corneal ulcer,9460
brain compression,9461
anal haemorrhage,9462
burn infection,9463
antineutrophil cytoplasmic antibody,9464
subacute hepatic failure,9465
genital candidiasis,9466
oestradiol increased,9467
candida serology positive,9468
device leakage,9469
vulvovaginal discomfort,9470
myoglobin blood present,9471
carotid arteriosclerosis,9472
nephrostomy,9473
suture rupture,9474
breast neoplasm,9475
withdrawal syndrome,9476
immune system disorder,9477
autophony,9478
hepatic infection bacterial,9479
beta 2 microglobulin increased,9480
brain damage,9481
cardiac myxoma,9482
chylomicrons,9483
ocular hyperaemia,9484
valvuloplasty cardiac,9485
homeless,9486
mental retardation severity unspecified,9487
spleen palpable,9488
blepharitis allergic,9489
multiple sclerosis,9490
human polyomavirus infection,9491
laryngeal cancer,9492
feeling hot,9493
hepatitis chronic persistent,9494
necrotising fasciitis staphylococcal,9495
high foetal head,9496
metastases to rectum,9497
genital infection female,9498
narcissistic personality disorder,9499
periorbital cellulitis,9500
lip exfoliation,9501
orthodontic procedure,9502
bladder repair,9503
implant site inflammation,9504
hepatitis c rna negative,9505
radiation exposure,9506
sickle cell anaemia with crisis,9507
sperm analysis abnormal,9508
nephrectasia,9509
urine abnormality,9510
blood magnesium,9511
potentiating drug interaction,9512
angiokeratoma,9513
opiates positive,9514
atrial septal defect acquired,9515
gastroenteritis helicobacter,9516
cachectic,9517
pedal pulse abnormal,9518
oral pustule,9519
anaesthetic complication pulmonary,9520
fine motor delay,9521
cerebral fungal infection,9522
catecholamines urine increased,9523
fibrin d dimer,9524
mesenteric vein thrombosis,9525
vital capacity decreased,9526
gastric ph increased,9527
cardioplegia,9528
renal cancer metastatic,9529
obstetrical pulmonary embolism,9530
muscle rigidity,9531
radioulnar synostosis,9532
foreign body aspiration,9533
jaw fracture,9534
benign hydatidiform mole,9535
dermatitis exfoliative,9536
encephalitis fungal,9537
funisitis,9538
congenital aortic stenosis,9539
splenic artery aneurysm,9540
osteomyelitis,9541
blindness unilateral,9542
vascular skin disorder,9543
cytogenetic analysis abnormal,9544
uterine contractions abnormal,9545
urine alcohol test positive,9546
carotid artery bypass,9547
enzyme induction,9548
neutrophil hypersegmented morphology present,9549
oesophageal haemorrhage,9550
loss of visual contrast sensitivity,9551
myelomalacia,9552
renal infarct,9553
connective tissue disease,9554
administration site pain,9555
non-small cell lung cancer recurrent,9556
unequal limb length,9557
activities of daily living impaired,9558
mitral valve atresia,9559
electrolyte disorder,9560
abdominal wall abscess,9561
hemianopia,9562
allergic pharyngitis,9563
heat therapy,9564
biopsy peripheral nerve,9565
benign pancreatic neoplasm,9566
cardiac aneurysm,9567
electrophoresis abnormal,9568
dyspnea exertional,9569
dysphasia,9570
c-reactive protein decreased,9571
chronic sinusitis,9572
biliary fibrosis,9573
pre-existing condition improved,9574
delayed recovery from anaesthesia,9575
brain herniation,9576
tonsillar cyst,9577
burns fourth degree,9578
venipuncture site inflammation,9579
anaphylactic reaction,9580
hypothalamo-pituitary disorder,9581
leukaemia,9582
transmission of drug via semen,9583
buccal mucosal roughening,9584
vitamin k deficiency,9585
bowel sounds abnormal,9586
uveal prolapse,9587
anti-gad antibody,9588
carotid aneurysm rupture,9589
urethral intrinsic sphincter deficiency,9590
cerebral artery stenosis,9591
diastolic hypertension,9592
knee meniscectomy,9593
metamyelocyte count increased,9594
abnormal labour,9595
arthritis infective,9596
airway burns,9597
interventricular septum rupture,9598
osteoporotic fracture,9599
joint swelling,9600
macular reflex abnormal,9601
ocular neoplasm,9602
anterior chamber disorder,9603
eyelid exfoliation,9604
peritoneal effusion,9605
aortic surgery,9606
germ cell cancer,9607
anaemia macrocytic,9608
renal surgery,9609
megakaryocytes decreased,9610
pre-existing disease,9611
leprosy,9612
recurrence of neuromuscular blockade,9613
sensorimotor disorder,9614
